Entidad;Erakundea;Calle;Código Postal;Población;Geo;Revisión;Teléfono;Web;Otros
Departamento de Medio Ambiente, Planificación Territorial y Vivienda;Ingurumen, Lurralde Plangintza eta Etxebizitza Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:26:21 UTC;"";""
Viceconsejería de Cultura, Juventud y Deportes;Kultura, Gazteria eta Kirol Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-30 11:11:46 UTC;"";""
Viceconsejería de Política Lingüística;Hizkuntza Politikarako Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-30 11:12:38 UTC;"";""
Dirección de Servicios;Zerbitzu Zuzendaritza;Donostia-San Sebastian, 1;01010;Vitoria-Gasteiz;, ;2016-11-30 11:29:44 UTC;"";""
Burnibidearen Euskal Museoa / Museo Vasco del Ferrocarril;Burnibidearen Euskal Museoa;Julián Elorza, 8;20730;Azpeitia;43.1857572, -2.2618972;2016-11-30 12:11:58 UTC;943150677;http://www.euskotren.es;fax: 943150746
Sociedad Pública Eusko Trenbideak/Ferrocarriles Vascos, S.A.;Eusko Trenbideak/Ferrocarriles Vascos, S.A. sozietate publikoa;Atxuri, 6;48003;Bilbao;43.2536464, -2.9213517;2016-11-30 12:13:39 UTC;944019900;http://www.euskotren.es;fax: 944019901
Euskotren Participaciones, S.A.;Euskotren Participaciones, S.A.;Atxuri, 6;48003;Bilbao;43.2536464, -2.9213517;2016-11-30 12:14:33 UTC;944019900;http://www.euskotren.es;fax: 944019901
EVE - Ente Vasco de la Energía;EEE - Energiaren Euskal Erakundea;Urquijo, 36 - Alameda de,  1º. Edificio Plaza Bizkaia;48011;Bilbao;43.2602726004495, -2.93688177882082;2016-11-30 12:16:42 UTC;944035600;http://www.eve.eus;fax: 944035699
SPRI - Sociedad para la Transformación Competitiva, S.A.;SPRI - Eraldaketa Lehiakorrerako Sozietatea, S.A.;Urquijo, 36 -  Alameda de, 4º. Edificio Plaza Bizkaia;48011;Bilbao;43.2602726004495, -2.93688177882082;2016-11-30 12:17:25 UTC;944037000;http://www.spri.net;fax: 944037022
UNIBASQ - Agencia de Calidad del Sistema Universitario Vasco;UNIBASQ - Euskal Unibertsitate Sistemaren Kalitatea Agentzia ;San Prudencio, 8;01005;Vitoria-Gasteiz;42.8440804, -2.6727485;2016-11-30 12:24:41 UTC;945123356;http://www.unibasq.org;fax: 945260627
MUSIKENE - Centro Superior de Música del País Vasco;MUSIKENE - Euskal Herriko goi mailako musika ikastegia;Miraconcha, 48 -  Palacio Miramar;20007;Donostia-San Sebastián;43.3148538584141, -1.99833911161666;2016-11-30 12:25:22 UTC;943316778;http://www.musikene.eus;fax: 943316916
Biblioteca General del Gobierno Vasco;Eusko Jaurlaritzako Liburutegi Orokorra;Donostia-San Sebastian, 1 -  Lakua;01010;Vitoria-Gasteiz;42.8588503973, -2.68731699573;2016-11-30 12:42:50 UTC;945018560;http://www.euskadi.net/biblioteka;fax: 945018709
Presidencia del Gobierno;Lehendakaritza;Navarra, 2;01007;Vitoria-Gasteiz;42.8385890707404, -2.67864021006057;2016-12-03 09:03:13 UTC;945017900;http://www.euskadi.eus/gobierno-vasco/lehendakaritza/inicio/
Secretaría General de Acción Exterior;Kanpo Harremanetarako Idazkaritza Nagusia;Navarra, 2;01007;Vitoria-Gasteiz;42.8385890707404, -2.67864021006057;2016-12-05 11:27:55 UTC;945017900;""
Secretaría General para la Paz y Convivencia;Bakegintza eta Bizikidetzarako Idazkaritza Nagusia;Navarra, 2;01007;Vitoria-Gasteiz;42.8385890707404, -2.67864021006057;2016-12-05 11:28:56 UTC;945017900;""
Viceconsejería de Función Pública;Funtzio Publikoko Sailburuordetza;"";"";;40.463667, -3.74922;2016-12-05 11:37:35 UTC;"";""
Viceconsejería de Administración y Planificación Territorial;Administrazio eta Lurralde Plangintza Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2016-12-07 12:45:52 UTC;"";""
Departamento de Empleo y Políticas Sociales;Enplegu eta Gizarte Politiketako Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-09 07:32:40 UTC;"";""
Viceconsejería de Hacienda y Política Financiera;Ogasun eta Finantza Politikako Sailburuordetza;Donostia-San Sebastián, 1 - Lakua;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-09 07:44:31 UTC;"";""
Eusko Jaurlaritza - Gobierno Vasco;Eusko Jaurlaritza - Gobierno Vasco;Donostia-San Sebastian, 1;01010;Vitoria-Gasteiz;42.8588326989249, -2.68725849191375;2016-12-09 08:17:45 UTC;945018000/ 012;http://www.euskadi.eus
OSALAN - Instituto Vasco de Seguridad y Salud Laborales;OSALAN - Lanerako Segurtasun eta Osasunerako Euskal Erakundea;Camino de la Dinamita, s/n - (Monte Basatxu);48903;Barakaldo;43.2732162, -2.9862789;2016-12-20 08:55:04 UTC;944032190;http://www.osalan.euskadi.eus;fax: 944032100
Viceconsejería de Empleo y Trabajo;Enplegu eta Lan sailburuordetza;Donostia-San Sebastian, 1, Lakua;01010;Vitoria-Gasteiz;, ;2016-12-28 08:59:52 UTC;945019370;""
Jakiunde, Academia de las Ciencias, Artes y Letras;Jakiunde, Zientzia, Arte eta Letren Akademia;Paseo Miraconcha, 48 - Miramar Jauregia;20007;Donostia-San Sebastián;, ;2017-01-09 13:21:39 UTC;943225773;www.jakiunde.eus
Additu;Additu;Jon Arróspide, 18, addZENTROA (entrada por Iruña, 1) - Bajo;48014;Bilbao;43.2687678, -2.9499291;2017-01-10 07:43:00 UTC;944276343;www.additu.es;linkedin: https://www.linkedin.com/company/additu;twitter: http://twitter.com/https://twitter.com/additu;facebook: https://www.facebook.com/additu;googleplus: https://plus.google.com/+AddituEs
Diócesis de Bilbao - Obispado;Bilboko Elizbarrutia - Gotzaindegia;Virgen de Begoña, 38;48006;Bilbao;43.2588021, -2.9141951;2013-05-10 09:11:58 UTC;944667979/ 944667947;http://www.bizkeliza.org;fax: 944667971;fax: 944667973
Diocesis de Vitoria-Gasteiz - Obispado;Gasteizko Elizbarrutia - Gotzaindegia;Vicente Goikoetxea, 7;01008;Vitoria-Gasteiz;42.846634, -2.6766015;2013-05-10 09:12:41 UTC;945148171;http://www.diocesisvitoria.org;fax: 945145837
Consejo Social de la Universidad del País Vasco;Euskal Herriko Unibertsitatearen Gizarte Kontseilua;Gran Vía, 38 - 6º ;48009;Bilbao;43.2628415294129, -2.93352209104862;2017-01-13 10:34:40 UTC;946017466;http://www.ehu.eus/consejosocial;fax: 946017474
"Centro Vasco ""Denak Bat"" de Jujuy";;Balcarce, 532 - 5º piso;4600;San Salvador de Jujuy;-24.1826635, -65.3057142;2011-11-23 14:59:24 UTC;3884228416;"";fax: 3884228416
Fundación Cursos de Verano de la Universidad del País Vasco en San Sebastián;Uda Ikastaroak Fundazioa, Donostia;Paseo de Miraconcha, 48 - Palacio de Miramar;20007;Donostia-San Sebastián;43.314603, -1.9975419;2017-01-13 10:35:02 UTC;943219511/ 943219751;http://www.ehu.eus/cursosverano;fax: 943219598
Festival Internacional de Folklore de Portugalete y del País Vasco;Portugalete eta Euskal Herriko Nazioarteko Folklore Jaialdia;Santa María, 10 behea;48920;Portugalete;43.3206637, -3.0202518;2017-01-19 08:19:03 UTC;944723419;http://www.elai-alai.org/festival/es/;fax: 944723542
LANBIDE - Donostia-San Sebastian Intxaurrondo;LANBIDE - Donostia-San Sebastian Intxaurrondo;Castilla, 2;20015;Donostia-San Sebastian;, ;2017-02-01 11:11:28 UTC;945160600;donostia-intxaurrondo@lanbide.eus;fax: 943023871
IVE - Oficina de Estadística de Vitoria (Eustat);EUSTAT - Gasteizeko Estatistika bulegoa;Samaniego, 2;01008;Vitoria-Gasteiz;42.8479253894417, -2.67616378007284;2017-02-06 14:30:49 UTC;"";www.eustat.eus
Instituto Vasco Etxepare;Etxepare Euskal Institutua;Tabakalera - Plaza de la Cigarreras, 1;20012;Donostia / San Sebastián;43.3178372047483, -1.97962843198454;2017-02-07 12:56:33 UTC;943023400;http://www.etxepare.eus;fax: 943023401
Colegio Oficial de Ingenieros Industriales de Bizkaia;Bizkaiko Industri Ingeniarien Elkargo Ofiziala;Alameda Mazarredo, 69 -  2º;48009;Bilbao;43.2672861, -2.9353755;2011-09-21 21:06:48 UTC;944232244;http://www.coiib.es;fax: 94 - 423 44 61
Ilustre Colegio Oficial de Veterinarios de Bizkaia;Bizkaiko Albaitarien Argi Legezko Elkargoa;Ibáñez de Bilbao, 8 -  3º Izda.;48001;Bilbao;43.2637606, -2.9269593;2014-02-06 20:27:38 UTC;944235948;http://www.bizkaia.euskovet.net;fax: 944242979
Colegio Oficial de Agentes de la Propiedad Inmobiliaria de Álava (COAPI);Ogasun Mugiezinetako Ordezkarien Arabako Lanbide-Elkarte Ofiziala;Avenida Gasteiz, 26 - Bajo;01008;Vitoria-Gasteiz;42.8436672, -2.6722992;2017-01-16 08:46:37 UTC;945130958;http://www.apialava.com;fax: 945140480
